Fix ID,Type,Type name,Tier,Fix category,Scope,Page URL,Page,Section title,Component ID,Component kind,What is wrong,Recommended fix,Fix group,Status,Assigned to,Date fixed,Notes
T4-179,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,Hazard of Concern,2384192,Card on Hazards_of_Concern,"column hazard_of_concern  -  options | stored options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu | live options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu","Columns menu > ""hazard_of_concern"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard_of_concern,,,,
T4-180,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,Hazard of Concern,2384192,Card on Hazards_of_Concern,"column geoid_county  -  meta_lookup | stored meta_lookup=undefined | live meta_lookup=""{\""view_id\"":\""1108098\"",\""keyAttribute\"":\""geoid","Columns menu > ""geoid_county"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_county,,,,
T4-181,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,Hazard of Concern,2384192,Card on Hazards_of_Concern,"column geoid_juris  -  type+mapped_options+meta_lookup | stored type=""select"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""mun | live type=""multiselect"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""(da","Columns menu > ""geoid_juris"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_juris,,,,
T4-182,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,(untitled Spreadsheet),2384202,Spreadsheet on R_and_V_Matrix,"column coastal_hazards  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal_hazards"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: coastal_hazards,,,,
T4-183,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,(untitled Spreadsheet),2384202,Spreadsheet on R_and_V_Matrix,"column extreme_cold  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""extreme_cold"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: extreme_cold,,,,
T4-184,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,Measures Inventory,2384246,Spreadsheet on Mitigation_Measures,"column description  -  type | stored type=""text"" | live type=""lexical""","Columns menu > ""description"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: description,,,,
T4-185,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,Measures Inventory,2384246,Spreadsheet on Mitigation_Measures,"column coastal  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: coastal,,,,
T4-186,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Hazard of Concern,2384266,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-187,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Hazard of Concern,2384266,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-188,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Hazard of Concern,2384266,Card on Hazards_of_Concern,"column hazard_of_concern  -  options | stored options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu | live options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu","Columns menu > ""hazard_of_concern"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard_of_concern,,,,
T4-189,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Hazard of Concern,2384266,Card on Hazards_of_Concern,"column geoid_county  -  meta_lookup | stored meta_lookup=undefined | live meta_lookup=""{\""view_id\"":\""1108098\"",\""keyAttribute\"":\""geoid","Columns menu > ""geoid_county"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_county,,,,
T4-190,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Hazard of Concern,2384266,Card on Hazards_of_Concern,"column geoid_juris  -  type+mapped_options+meta_lookup | stored type=""select"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""mun | live type=""multiselect"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""(da","Columns menu > ""geoid_juris"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_juris,,,,
T4-191,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,(untitled Spreadsheet),2384276,Spreadsheet on R_and_V_Matrix,"column coastal_hazards  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal_hazards"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: coastal_hazards,,,,
T4-192,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,(untitled Spreadsheet),2384276,Spreadsheet on R_and_V_Matrix,"column extreme_cold  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""extreme_cold"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: extreme_cold,,,,
T4-193,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Measures Inventory,2384325,Spreadsheet on Mitigation_Measures,"column description  -  type | stored type=""text"" | live type=""lexical""","Columns menu > ""description"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: description,,,,
T4-194,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Measures Inventory,2384325,Spreadsheet on Mitigation_Measures,"column coastal  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: coastal,,,,
T4-195,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,Hazard of Concern,2384448,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-196,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,Hazard of Concern,2384448,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-197,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,Hazard of Concern,2384448,Card on Hazards_of_Concern,"column hazard_of_concern  -  options | stored options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu | live options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu","Columns menu > ""hazard_of_concern"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard_of_concern,,,,
T4-198,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,Hazard of Concern,2384448,Card on Hazards_of_Concern,"column geoid_county  -  meta_lookup | stored meta_lookup=undefined | live meta_lookup=""{\""view_id\"":\""1108098\"",\""keyAttribute\"":\""geoid","Columns menu > ""geoid_county"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_county,,,,
T4-199,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,Hazard of Concern,2384448,Card on Hazards_of_Concern,"column geoid_juris  -  type+mapped_options+meta_lookup | stored type=""select"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""mun | live type=""multiselect"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""(da","Columns menu > ""geoid_juris"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_juris,,,,
T4-200,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,(untitled Spreadsheet),2384458,Spreadsheet on R_and_V_Matrix,"column coastal_hazards  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal_hazards"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: coastal_hazards,,,,
T4-201,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,(untitled Spreadsheet),2384458,Spreadsheet on R_and_V_Matrix,"column extreme_cold  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""extreme_cold"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: extreme_cold,,,,
T4-202,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,Measures Inventory,2384502,Spreadsheet on Mitigation_Measures,"column description  -  type | stored type=""text"" | live type=""lexical""","Columns menu > ""description"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: description,,,,
T4-203,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,Measures Inventory,2384502,Spreadsheet on Mitigation_Measures,"column coastal  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: coastal,,,,
T4-204,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Hazard of Concern,2384547,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-205,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Hazard of Concern,2384547,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-206,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Hazard of Concern,2384547,Card on Hazards_of_Concern,"column hazard_of_concern  -  options | stored options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu | live options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu","Columns menu > ""hazard_of_concern"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard_of_concern,,,,
T4-207,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Hazard of Concern,2384547,Card on Hazards_of_Concern,"column geoid_county  -  meta_lookup | stored meta_lookup=undefined | live meta_lookup=""{\""view_id\"":\""1108098\"",\""keyAttribute\"":\""geoid","Columns menu > ""geoid_county"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_county,,,,
T4-208,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Hazard of Concern,2384547,Card on Hazards_of_Concern,"column geoid_juris  -  type+mapped_options+meta_lookup | stored type=""select"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""mun | live type=""multiselect"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""(da","Columns menu > ""geoid_juris"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_juris,,,,
T4-209,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384557,Spreadsheet on R_and_V_Matrix,"column coastal_hazards  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal_hazards"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: coastal_hazards,,,,
T4-210,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384557,Spreadsheet on R_and_V_Matrix,"column extreme_cold  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""extreme_cold"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",R_and_V_Matrix :: extreme_cold,,,,
T4-211,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column geoid_county  -  meta_lookup | stored meta_lookup=undefined | live meta_lookup=""{\""view_id\"":\""1108098\"",\""keyAttribute\"":\""geoid","Columns menu > ""geoid_county"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_county,,,,
T4-212,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column geoid_juris  -  type+mapped_options+meta_lookup | stored type=""select"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""mun | live type=""multiselect"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""(da","Columns menu > ""geoid_juris"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_juris,,,,
T4-213,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-214,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column likelihood  -  options | stored options=[{""label"":""Unlikely"",""value"":""Unlikely""},{""label"": | live options=[{""label"":""Minimum Likelihood: Will almost never o","Columns menu > ""likelihood"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: likelihood,,,,
T4-215,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column buildings_vulnerability  -  type | stored type=""radio"" | live type=""checkbox""","Columns menu > ""buildings_vulnerability"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: buildings_vulnerability,,,,
T4-216,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column infrastructure_vulnerability  -  type | stored type=""radio"" | live type=""checkbox""","Columns menu > ""infrastructure_vulnerability"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: infrastructure_vulnerability,,,,
T4-217,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column population_vulnerability  -  type | stored type=""radio"" | live type=""checkbox""","Columns menu > ""population_vulnerability"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: population_vulnerability,,,,
T4-218,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column natural_env_vulnerability  -  type | stored type=""radio"" | live type=""checkbox""","Columns menu > ""natural_env_vulnerability"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: natural_env_vulnerability,,,,
T4-219,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column associated_capabilities  -  type+options | stored type=""multiselect"" ; options=null | live type=""lexical"" ; options=[{""label"":""test"",""value"":""test""}]","Columns menu > ""associated_capabilities"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: associated_capabilities,,,,
T4-220,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,(untitled Spreadsheet),2384587,Spreadsheet on Hazards_of_Concern,"column hazard_of_concern  -  options | stored options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu | live options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu","Columns menu > ""hazard_of_concern"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard_of_concern,,,,
T4-221,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Measures Inventory,2384602,Spreadsheet on Mitigation_Measures,"column description  -  type | stored type=""text"" | live type=""lexical""","Columns menu > ""description"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: description,,,,
T4-222,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,Measures Inventory,2384602,Spreadsheet on Mitigation_Measures,"column coastal  -  type | stored type=""text"" | live type=""checkbox""","Columns menu > ""coastal"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Mitigation_Measures :: coastal,,,,
T4-223,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Hazard of Concern,2384621,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-224,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Hazard of Concern,2384621,Card on Hazards_of_Concern,"column hazard  -  options+meta_lookup | stored options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta | live options=[{""label"":""avalanche"",""value"":""avalanche""},{""label ; meta_lookup=""{\""avalanche\"":\""Avalanche\"",\""coastal\"":\""Coasta","Columns menu > ""hazard"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard,,,,
T4-225,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Hazard of Concern,2384621,Card on Hazards_of_Concern,"column hazard_of_concern  -  options | stored options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu | live options=[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""valu","Columns menu > ""hazard_of_concern"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: hazard_of_concern,,,,
T4-226,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Hazard of Concern,2384621,Card on Hazards_of_Concern,"column geoid_county  -  meta_lookup | stored meta_lookup=undefined | live meta_lookup=""{\""view_id\"":\""1108098\"",\""keyAttribute\"":\""geoid","Columns menu > ""geoid_county"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_county,,,,
T4-227,4,Out-of-date metadata,Maintenance,Component setting,column,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,Hazard of Concern,2384621,Card on Hazards_of_Concern,"column geoid_juris  -  type+mapped_options+meta_lookup | stored type=""select"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""mun | live type=""multiselect"" ; mapped_options=""{\""sourceId\"":\""1346449\"",\""viewId\"":\""1346450\"", ; meta_lookup=""{\""view_id\"":\""1346450\"",\""valueAttribute\"":\""(da","Columns menu > ""geoid_juris"" > Refresh Meta. Refresh this column only  -  a blanket refresh overwrites author overrides on all nine synced attributes.",Hazards_of_Concern :: geoid_juris,,,,
