Fix ID,Type,Type name,Tier,Fix category,Scope,Page URL,Page,Page ID,Page Relevance,Section title,Draft section ID,Draft section group ID,Draft section group name,Component kind,What is wrong,Recommended fix,Fix group,Status,Assigned to,Date fixed,Notes,Requirement,Requirement source (LHMP_IA row),LHMP_IA section,LHMP_IA component,Match basis,Confidence,Tag exempt,Draft tags (current),V1 published section ID,Draft ID basis
T5-327,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),(untitled Card),1689471,default,Group 1,Card on NYS_Dams,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"LHMP_IA section ""Overview"" (first section on the page)",,,,2380355,positional
T5-328,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),(untitled Card),1689472,default,Group 1,Card on NYS_Dams,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"LHMP_IA section ""Overview"" (first section on the page)",,,,2380356,positional
T5-329,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),(untitled Map),1689473,default,Group 1,Map,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"LHMP_IA section ""Overview"" (first section on the page)",,,,2380357,positional
T5-330,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),(untitled Card),1689474,default,Group 1,Card on NYS_Dams,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"LHMP_IA section ""Overview"" (first section on the page)",,,,2380358,positional
T5-331,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Risk Assessment Process,2380306,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"inherited from LHMP_IA component ""High Hazard Dam Assessment"" (Overview / Card)",,,,2380360,positional
T5-332,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Dam Risks and Failure Impact,2380307,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"inherited from LHMP_IA component ""High Hazard Dam Assessment"" (Overview / Card)",,,,2380361,positional
T5-333,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Mitigation Plan Goal,2380308,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"inherited from LHMP_IA component ""High Hazard Dam Assessment"" (Overview / Card)",,,,2380362,positional
T5-334,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Planned Mitigation Actions / Projects,2380309,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686502,Overview,High Hazard Dam Assessment,"inherited from LHMP_IA component ""High Hazard Dam Assessment"" (Overview / Card)",,,,2380363,positional
T5-335,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Dam Assessment Form,2380305,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1468666,Assessment,Question 4,"LHMP_IA section ""Assessment"" - no requirement recorded on any row",,Section title only; Hidden from view,,2380364,positional
T5-336,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Risk Assessment Process,1689476,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1468666,Assessment,Question 4,"LHMP_IA section ""Assessment"" - no requirement recorded on any row",,Hidden from view,,2380365,positional
T5-337,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Dam Risks and Failure Impact,1689477,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1468666,Assessment,Question 4,"LHMP_IA section ""Assessment"" - no requirement recorded on any row",,Hidden from view,,2380366,positional
T5-338,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Mitigation Plan Goal,1689478,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1468666,Assessment,Question 4,"LHMP_IA section ""Assessment"" - no requirement recorded on any row",,Hidden from view,,2380367,positional
T5-339,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Planned Mitigation Actions / Projects,1689479,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1468666,Assessment,Question 4,"LHMP_IA section ""Assessment"" - no requirement recorded on any row",,Hidden from view,,2380368,positional
T5-340,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/high_hazard_dams/high_hazard_dams_view_card,the_local_environment/high_hazard_dams/high_hazard_dams_view_card,1458959,(not labelled),Additional Comments or Notes,1689480,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1468666,Assessment,Question 4,"LHMP_IA section ""Assessment"" - no requirement recorded on any row",,Hidden from view,,2380369,positional
T5-341,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,(untitled lexical),2413403,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468335,Overview,Overview,"LHMP_IA section ""Overview"" (first section on the page)",Medium,Hidden from view,,2380560,positional
T5-342,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,(untitled lexical),2413407,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B1-a, B1-d, B2-a, B2-b, C4-b",1468339,Hazards of Concern,Local Hazards of Concern Cards,"inherited from LHMP_IA component ""Local Hazards of Concern Cards"" (Hazards of Concern / Card)",Medium,,,2380564,positional
T5-343,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,(untitled Card),2413408,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B1-a, B1-d, B2-a, B2-b, C4-b",1468339,Hazards of Concern,Local Hazards of Concern Cards,"inherited from LHMP_IA component ""Local Hazards of Concern Cards"" (Hazards of Concern / Card)",Medium,,,2380565,positional
T5-344,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,(untitled Card),2413410,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B1-a, B1-d, B2-a, B2-b, C4-b",1468339,Hazards of Concern,Local Hazards of Concern Cards,"inherited from LHMP_IA component ""Local Hazards of Concern Cards"" (Hazards of Concern / Card)",Medium,Hidden from view,,2380567,positional
T5-345,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,(untitled lexical),2413411,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B1-a, B1-d, B2-a, B2-b, C4-b",1468339,Hazards of Concern,Local Hazards of Concern Cards,"inherited from LHMP_IA component ""Local Hazards of Concern Cards"" (Hazards of Concern / Card)",Medium,Hidden from view,,2380568,positional
T5-346,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,(untitled Spreadsheet),2413424,default,Group 1,Spreadsheet on src 198,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468351,Historic Loss,Other Hazard Events,"inherited from LHMP_IA component ""Other Hazard Events"" (Historic Loss / Card)",Medium,,,2380581,positional
T5-347,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,The Last 5 Years - Events,2413430,default,Group 1,Graph,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468358,Historic Loss,Historic Loss by Month,"inherited from LHMP_IA component ""Historic Loss by Month"" (Historic Loss / Card)",Medium,,,2380587,positional
T5-348,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,The Last 5 Years - Fusion Damage,2413431,default,Group 1,Graph,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468358,Historic Loss,Historic Loss by Month,"inherited from LHMP_IA component ""Historic Loss by Month"" (Historic Loss / Card)",Medium,,,2380588,positional
T5-349,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards,the_risk/natural_hazards,1300806,Relevant,(untitled lexical),2413432,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468358,Historic Loss,Historic Loss by Month,"inherited from LHMP_IA component ""Historic Loss by Month"" (Historic Loss / Card)",Medium,,,2380589,positional
T5-350,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176928,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-b,1468434,Modeled Risks (NRI),Modeled Risks (NRI),"LHMP_IA section ""Modeled Risks (NRI)"" (first section on the page)",Medium,Hidden from view,,2380740,positional
T5-351,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,Hazard of Concern,2176931,default,Group 1,Card on Hazards_of_Concern,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-b,1468434,Modeled Risks (NRI),Modeled Risks (NRI),"LHMP_IA section ""Modeled Risks (NRI)"" (first section on the page)",Medium,,,2380743,positional
T5-352,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,Modeled RIsk,2176932,default,Group 1,Card on src 1508,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-b,1468434,Modeled Risks (NRI),Modeled Risks (NRI),"LHMP_IA component ""Modeled Risks (NRI)"" (Modeled Risks (NRI) / Card)",High,,,2380744,positional
T5-353,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,Historical Risk,2176933,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-b,1468434,Modeled Risks (NRI),Modeled Risks (NRI),"inherited from LHMP_IA component ""Modeled Risks (NRI)"" (Modeled Risks (NRI) / Card)",Medium,,,2380745,positional
T5-354,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176934,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-b,1468434,Modeled Risks (NRI),Modeled Risks (NRI),"inherited from LHMP_IA component ""Modeled Risks (NRI)"" (Modeled Risks (NRI) / Card)",Medium,,,2380746,positional
T5-355,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176936,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B2-b,1468434,Modeled Risks (NRI),Modeled Risks (NRI),"inherited from LHMP_IA component ""Modeled Risks (NRI)"" (Modeled Risks (NRI) / Card)",Medium,,,2380748,positional
T5-356,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,Local Hazard Summary,2176937,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468375,Overview,General Vulnerability,"LHMP_IA section ""Overview"" (via ""General Vulnerability"")",Medium,,,2380749,positional
T5-357,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled Card),2176943,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468416,Historic Occurrences,Historic Occurrences,"inherited from LHMP_IA component ""Historic Occurrences"" (Historic Occurrences / Card)",Medium,,,2380755,positional
T5-358,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176948,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468423,Historic Occurrences,Number of Events by County Municipality,"inherited from LHMP_IA component ""Number of Events by County Municipality"" (Historic Occurrences / Map)",Medium,,,2380760,positional
T5-359,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176951,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468423,Historic Occurrences,Number of Events by County Municipality,"inherited from LHMP_IA component ""Number of Events by County Municipality"" (Historic Occurrences / Map)",Medium,,,2380763,positional
T5-360,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled Card),2176955,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468427,Historic Occurrences,Presidential Disaster Declarations,"inherited from LHMP_IA component ""Presidential Disaster Declarations"" (Historic Occurrences / Card)",Medium,,,2380767,positional
T5-361,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176957,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468427,Historic Occurrences,Presidential Disaster Declarations,"inherited from LHMP_IA component ""Presidential Disaster Declarations"" (Historic Occurrences / Card)",Medium,Hidden from view,,2380769,positional
T5-362,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176962,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,B1-d,1468431,Historic Occurrences,Other Hazard Events,"inherited from LHMP_IA component ""Other Hazard Events"" (Historic Occurrences / Card)",Medium,Hidden from view,,2380774,positional
T5-363,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,Local Risk Assessment,2176964,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468438,Modeled Risks (NRI),Built Environment Overview,"LHMP_IA section ""Modeled Risks (NRI)"" (via ""Built Environment Overview"")",Medium,Section title only,,2380776,positional
T5-364,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176965,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468438,Modeled Risks (NRI),Built Environment Overview,"inherited from LHMP_IA section ""Modeled Risks (NRI)"" (via ""Built Environment Overview"")",Medium,Hidden from view,,2380777,positional
T5-365,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled Card),2176967,default,Group 1,Card,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468397,Local Impacts,County Level,"inherited from LHMP_IA section ""Local Impacts"" (via ""County Level"")",Medium,Hidden from view,,2380779,positional
T5-366,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176968,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468397,Local Impacts,County Level,"inherited from LHMP_IA section ""Local Impacts"" (via ""County Level"")",Medium,Hidden from view,,2380780,positional
T5-367,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled Spreadsheet),2176970,default,Group 1,Spreadsheet,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468397,Local Impacts,County Level,"inherited from LHMP_IA section ""Local Impacts"" (via ""County Level"")",Medium,,,2380782,positional
T5-368,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176975,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468438,Modeled Risks (NRI),Built Environment Overview,"inherited from LHMP_IA component ""Built Environment Overview"" (Modeled Risks (NRI) / Card)",Medium,Hidden from view,,2380787,positional
T5-369,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,Built Environment - Local Risk Summary,2176976,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1957824,Modeled Risks (NRI),Built Environment - Local Risk Summary,"LHMP_IA component ""Built Environment - Local Risk Summary"" (Modeled Risks (NRI) / Rich Text)",,,,2380788,positional
T5-370,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176978,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468457,Modeled Risks (NRI),People and Communities Overview,"inherited from LHMP_IA component ""People and Communities Overview"" (Modeled Risks (NRI) / Card)",Medium,Hidden from view,,2380790,positional
T5-371,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,People and Communities - Local Risk Summary,2176979,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686455,Modeled Risks (NRI),People and Communities - Local Risk Summary,"LHMP_IA component ""People and Communities - Local Risk Summary"" (Modeled Risks (NRI) / Rich Text)",,,,2380791,positional
T5-372,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176981,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,"B2-a, B2-b",1468475,Modeled Risks (NRI),Natural Environment Overview,"inherited from LHMP_IA component ""Natural Environment Overview"" (Modeled Risks (NRI) / Card)",Medium,Hidden from view,,2380793,positional
T5-373,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,Natural Environment - Local Risk Summary,2176982,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1957825,Modeled Risks (NRI),Natural Environment - Local Risk Summary,"LHMP_IA component ""Natural Environment - Local Risk Summary"" (Modeled Risks (NRI) / Rich Text)",,,,2380794,positional
T5-374,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176983,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1957825,Modeled Risks (NRI),Natural Environment - Local Risk Summary,"inherited from LHMP_IA component ""Natural Environment - Local Risk Summary"" (Modeled Risks (NRI) / Rich Text)",,,,2380795,positional
T5-375,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,Relevant,(untitled lexical),2176987,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,C1-a,1468495,Strategies,Capabilities,"inherited from LHMP_IA component ""Capabilities"" (Strategies / Card)",Medium,Hidden from view,,2380799,positional
