geoid,payload_row,existing_id,existing_row,score,j_action_name,j_description_of_the_problem,j_description_of_the_solutio,outcome
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.423,0.182,1.0,0.167,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.423,0.182,1.0,0.167,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.418,0.182,1.0,0.15,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.418,0.182,1.0,0.15,REFUSED - discriminator conflict
3645106,Manorhaven Sewer Restoration Project - Phase I-C,1093887,Manorhaven Sewer  Restoration Project - Phase I-A and Phase I-B,0.417,1.0,0.026,0.03,skipped (already claimed)
3645106,Manorhaven Sewer Restoration Project - Phase I-A and Phase I-B,1093892,Manorhaven Sewer  Restoration Project - Phase I-C,0.416,1.0,0.011,0.043,skipped (already claimed)
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.414,0.167,1.0,0.158,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.414,0.167,1.0,0.158,REFUSED - discriminator conflict
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.409,0.154,1.0,0.158,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.409,0.154,1.0,0.158,REFUSED - discriminator conflict
3645106,Manorhaven Sewer Restoration Project - Phase I-C,1093891,Sewer Force Main Replacement Study  -  Phase I,0.409,0.25,1.0,0.029,below threshold - review only
3637847,"Rebuild existing infrastructure, including drainage, bulkhead outfalls and roadway elevati",1093945,"Rebuild existing infrastructure, including drainage, bulkhead outfalls, and roadway elevat",0.408,1.0,0.028,0.0,skipped (already claimed)
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.406,0.214,1.0,0.069,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.406,0.214,1.0,0.069,REFUSED - discriminator conflict
3682117,Emergency Generator Installations,1093470,Emergency Generator Installations,0.4,1.0,0.0,0.0,applied
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.393,0.143,1.0,0.12,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.393,0.143,1.0,0.12,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.39,0.125,1.0,0.133,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.39,0.125,1.0,0.133,REFUSED - discriminator conflict
3633139,Generator Installation - Weir Street Fire Facility,1093830,Generator Replacement  -Headquarters Fire House,0.389,0.222,0.0,1.0,below threshold - review only
3633139,Generator Installation - Weir Street Fire Facility,1093829,Generator Replacement - Southside Fire House,0.389,0.222,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement -Headquarters Fire House,1093827,Generator Installation - Weir Street Fire Facility,0.389,0.222,0.0,1.0,below threshold - review only
3633139,Generator Replacement - Southside Fire House,1093827,Generator Installation - Weir Street Fire Facility,0.389,0.222,0.0,1.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.387,0.154,1.0,0.083,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.387,0.154,1.0,0.083,REFUSED - discriminator conflict
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.384,0.167,1.0,0.059,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.384,0.167,1.0,0.059,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.382,0.125,1.0,0.105,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.382,0.125,1.0,0.105,REFUSED - discriminator conflict
3633139,Generator Installation - Weir Street Fire Facility,1093831,Generator Replacement  - Jerusalem Ave. Fire House,0.38,0.2,0.0,1.0,below threshold - review only
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093827,Generator Installation - Weir Street Fire Facility,0.38,0.2,0.0,1.0,below threshold - review only
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.375,0.167,1.0,0.029,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.375,0.167,1.0,0.029,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.373,0.182,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.373,0.182,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.373,0.182,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.373,0.182,1.0,0.0,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.372,0.133,1.0,0.062,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.372,0.133,1.0,0.062,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.367,0.167,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.367,0.167,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.367,0.167,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.367,0.167,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.367,0.167,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.367,0.167,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.362,0.154,1.0,0.0,REFUSED - discriminator conflict
3605956000,Permanent generators installed at 10 critical facilities and locations throughout the Town,1095226,Permanent Generators for Critical Community Facilities,0.361,0.444,0.111,0.5,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.361,0.118,1.0,0.045,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.361,0.118,1.0,0.045,REFUSED - discriminator conflict
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.357,0.143,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.357,0.143,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.357,0.143,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.357,0.143,1.0,0.0,REFUSED - discriminator conflict
3605934000,Emergency Power Generation Project: Meadowmere Park Fire Department,1097534,Meadowmere Park Fire Department Building,0.35,0.5,0.0,0.5,below threshold - review only
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.35,0.125,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.35,0.125,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.347,0.118,1.0,0.0,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.347,0.118,1.0,0.0,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.347,0.118,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.347,0.118,1.0,0.0,REFUSED - discriminator conflict
3633139,Generator Installation - Kennedy Memorial Park,1093830,Generator Replacement  -Headquarters Fire House,0.344,0.111,0.0,1.0,below threshold - review only
3633139,Generator Installation - Kennedy Memorial Park,1093829,Generator Replacement - Southside Fire House,0.344,0.111,0.0,1.0,REFUSED - discriminator conflict
3633139,Generator Replacement -Headquarters Fire House,1093834,Generator Installation - Kennedy Memorial Park,0.344,0.111,0.0,1.0,below threshold - review only
3633139,Generator Replacement - Southside Fire House,1093834,Generator Installation - Kennedy Memorial Park,0.344,0.111,0.0,1.0,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.343,0.0,1.0,0.143,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099720,Drainage Improvement Project (GOSR),0.343,0.0,1.0,0.143,REFUSED - discriminator conflict
3633139,Generator Installation - Kennedy Memorial Park,1093831,Generator Replacement  - Jerusalem Ave. Fire House,0.34,0.1,0.0,1.0,below threshold - review only
3633139,Generator Replacement - Jerusalem Ave. Fire House,1093834,Generator Installation - Kennedy Memorial Park,0.34,0.1,0.0,1.0,below threshold - review only
3645106,Force Main Replacement - Phase II - A & Phase II - B,1093892,Manorhaven Sewer  Restoration Project - Phase I-C,0.339,0.125,0.714,0.25,below threshold - review only
3645106,Manorhaven Sewer Restoration Project - Phase I-C,1093888,Force Main Replacement - Phase II - A & Phase II - B,0.339,0.125,0.714,0.25,below threshold - review only
3610132,"Road and Traffic Symbol and Sign Maintenance Program, with GIS mapping component",1094250,Sign revitalization and GIS mapping,0.338,0.333,0.348,0.333,below threshold - review only
3605956000,Reconstruction of Bay Constable Building,1095230,Enhancements to Bay Constable Building,0.334,0.6,0.083,0.231,below threshold - review only
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099723,Install Check Valves for Critical Infrastructure,0.325,0.0,1.0,0.083,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.325,0.0,1.0,0.083,REFUSED - discriminator conflict
3664232,"Through various forms of aggressive community outreach, residents will be informed of crit",1093757,Community Outreach Emergency Information Service,0.325,0.154,0.043,0.833,below threshold - review only
3605034,Adams Ave. Pump Station,1094231,Adams Avenue Pump Station Project,0.32,0.6,0.0,0.267,below threshold - review only
3643335,Drainage Improvement Project (GOSR),1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099720,Drainage Improvement Project (GOSR),0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),1099723,Install Check Valves for Critical Infrastructure,0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099720,Drainage Improvement Project (GOSR),0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),1099723,Install Check Valves for Critical Infrastructure,0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099715,Hazard Mitigation-Long Beach City Hall (PW-433520 Emmie-04066),0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099727,Hazard Mitigation-MLK Center (PW-433529 Emmie-03901),0.317,0.0,1.0,0.056,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.314,0.0,1.0,0.045,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099720,Drainage Improvement Project (GOSR),0.314,0.0,1.0,0.045,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.312,0.0,1.0,0.042,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099720,Drainage Improvement Project (GOSR),0.312,0.0,1.0,0.042,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),1099723,Install Check Valves for Critical Infrastructure,0.312,0.0,1.0,0.042,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099714,Hazard Mitigation-Long Beach Ice Arena (PW-433532 Emmie-03978),0.312,0.0,1.0,0.042,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.309,0.0,1.0,0.031,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099720,Drainage Improvement Project (GOSR),0.309,0.0,1.0,0.031,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),1099723,Install Check Valves for Critical Infrastructure,0.309,0.0,1.0,0.031,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099717,Hazard Mitigation-Animal Shelter (PW-433524 Emmie-04134),0.309,0.0,1.0,0.031,REFUSED - discriminator conflict
3628178,Rosemary Kennedy Center Back Up Generator,1094026,George Farber Center Back Up Generator,0.303,0.5,0.059,0.286,below threshold - review only
3643335,Drainage Improvement Project (GOSR),1099718,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Drainage Improvement Project (GOSR),1099723,Install Check Valves for Critical Infrastructure,0.3,0.0,1.0,0.0,below threshold - review only
3643335,Hazard Mitigation-150 W. Pine St. Complex (PW-433528 Emmie-0449),1099720,Drainage Improvement Project (GOSR),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",1099723,Install Check Valves for Critical Infrastructure,0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),1099723,Install Check Valves for Critical Infrastructure,0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099720,Drainage Improvement Project (GOSR),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),1099723,Install Check Valves for Critical Infrastructure,0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099720,Drainage Improvement Project (GOSR),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),1099723,Install Check Valves for Critical Infrastructure,0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099720,Drainage Improvement Project (GOSR),0.3,0.0,1.0,0.0,below threshold - review only
3643335,Install Check Valves for Critical Infrastructure,1099716,"Hazard Mitigation-Fire Houses Station 1 Maple, Station 2 Indiana (PW-433525 Emmie-04134)",0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099726,Hazard Mitigation-Recreation and Senior Center (PW-433505 Emmie-04154),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099725,Hazard Mitigation-Waste Water Treatment Plant (PW-433508 Emmie-00309),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
3643335,Install Check Valves for Critical Infrastructure,1099724,Hazard Mitigation-Water Purification Plant (PW-4333509 Emmie-0293),0.3,0.0,1.0,0.0,REFUSED - discriminator conflict
